10727.4	10792.3	77.251	158.667	78.666	5.28
10809.1	10879.1	77.731	159.633	79.012	5.28
10972.2	10967.4	77.941	160.000	79.208	5.52
11112.0	11057.4	78.220	160.800	79.411	5.53
11198.2	11149.1	78.479	161.667	79.658	5.51
11309.0	11242.8	78.607	162.000	79.653	5.52
11418.7	11338.6	78.772	162.533	79.795	5.50
11568.1	11436.2	79.067	163.367	80.036	5.53
11757.9	11535.4	79.313	164.133	80.239	4.86
11867.8	11636.1	79.630	164.733	80.446	4.73
11967.7	11737.8	79.894	165.967	80.875	4.75
12120.1	11841.0	80.187	167.200	81.301	5.09
12329.8	11945.6	80.555	168.433	81.784	5.31
12365.2	12051.6	81.165	170.100	82.468	5.68
12598.7	12160.7	81.625	171.433	82.844	6.27
12614.8	12271.2	82.156	173.000	83.359	6.52
12682.0	12382.9	82.600	174.233	83.820	6.47
12645.7	12495.7	83.131	175.900	84.381	5.59
12712.8	12608.7	83.708	177.133	84.784	4.33
12674.1	12721.4	83.985	177.633	84.850	3.50
12705.2	12833.4	84.239	177.500	84.907	2.13
12824.6	12942.9	84.504	178.067	85.061	1.73
12894.7	13052.8	84.826	179.467	85.717	1.75
12956.7	13161.2	85.206	180.433	86.151	1.74
12962.9	13267.4	85.673	181.500	86.544	1.44
13028.6	13371.3	86.201	183.367	87.155	1.25
13151.8	13470.6	86.462	183.067	87.233	1.25
13374.0	13566.8	86.947	184.433	87.765	1.02
13525.7	13659.8	87.378	185.133	88.119	1.00
13606.6	13748.2	88.130	186.700	88.792	1.00
13710.7	13833.5	88.861	188.167	89.415	1.01
13831.0	13916.8	89.432	189.367	89.935	1.43
13947.7	13999.2	90.078	191.400	90.645	1.95
14100.2	14082.6	90.893	192.367	91.115	2.47
14177.2	14165.8	91.525	193.667	91.720	2.94
14292.9	14249.3	92.400	196.600	92.725	3.46
14372.0	14333.2	93.121	198.433	93.452	3.98
14546.4	14418.5	93.837	199.467	93.885	4.46
14591.6	14504.9	94.595	201.267	94.608	4.91
14604.4	14592.0	95.249	203.167	95.284	5.25
14718.4	14679.8	95.583	202.333	95.122	5.25
14728.1	14768.3	96.652	204.317	96.008	5.26
14841.5	14859.1	97.190	206.631	96.769	5.25
14941.5	14949.5	97.526	207.939	97.317	5.07
14996.1	15038.7	97.959	210.490	98.292	4.50
14895.4	15125.6	98.507	212.770	99.135	3.18
14969.2	15209.7	98.984	215.538	100.173	2.09
14895.1	15290.4	99.659	218.861	101.195	1.94
14574.6	15366.9	99.808	213.849	99.748	0.51
