date,index,bnw_bfk_tfp_util,bnw_percap_rsp_end,bnw_percap_c,bnw_expost_ffr_mon,bnw_percap_h
1972.3,71,0.525857152,-10.91180479,-3.91717501,0.016776447,-7.719250734
1972.4,72,0.530495508,-10.86122431,-3.90392996,0.012176664,-7.715035517
1973.1,73,0.544628231,-10.93888864,-3.898341964,0.008447521,-7.706840909
1973.2,74,0.542721245,-11.03206457,-3.900332223,0.002106703,-7.701290041
1973.3,75,0.525663397,-11.01753989,-3.899445212,0.029660776,-7.700751953
1973.4,76,0.531764356,-11.15331942,-3.903096923,-0.000431722,-7.699921965
1974.1,77,0.523254586,-11.2250404,-3.913310302,-0.023776902,-7.705130033
1974.2,78,0.537393732,-11.34529038,-3.913604703,0.013591484,-7.71217183
1974.3,79,0.53917486,-11.68072423,-3.914537826,0.002394568,-7.722790308
1974.4,80,0.550767983,-11.63993429,-3.917745017,-0.035682266,-7.742752489
1975.1,81,0.557247474,-11.47046609,-3.915432604,-0.029191426,-7.779867096
1975.2,82,0.567722387,-11.3544642,-3.905057929,0.007595236,-7.792765091
1975.3,83,0.572399354,-11.50661256,-3.904491809,-0.017007074,-7.788256878
1975.4,84,0.567943222,-11.45714088,-3.900212052,-0.021039157,-7.778907297
1976.1,85,0.576960165,-11.34273505,-3.890903098,0.002822295,-7.76930871
1976.2,86,0.57774217,-11.34154895,-3.886316354,0.019180887,-7.771562862
1976.3,87,0.576425171,-11.35303884,-3.880341856,-0.010825861,-7.771751259
1976.4,88,0.58203803,-11.35103464,-3.871982377,-0.011254396,-7.774003323
1977.1,89,0.588469465,-11.46146226,-3.868107004,-0.025829276,-7.768411066
1977.2,90,0.593940227,-11.46273771,-3.870069196,-0.015317468,-7.750897544
1977.3,91,0.601656703,-11.52147047,-3.865841659,0.006438981,-7.747994527
1977.4,92,0.583373737,-11.55547343,-3.857376307,0.00707823,-7.742335166
1978.1,93,0.570197913,-11.64076544,-3.849121363,-0.000368324,-7.7415444
1978.2,94,0.589605076,-11.59912523,-3.840593858,-0.013938429,-7.717794907
1978.3,95,0.587904178,-11.55588268,-3.837868814,-0.007505078,-7.714213643
1978.4,96,0.592521235,-11.64828694,-3.835152389,0.008387864,-7.708088503
1979.1,97,0.590385805,-11.62219059,-3.831150297,0.001406941,-7.705630121
1979.2,98,0.590802334,-11.64478869,-3.831482406,-0.022288027,-7.706861793
1979.3,99,0.599147814,-11.62063356,-3.829866524,-0.012519719,-7.703185251
1979.4,100,0.600928467,-11.66966865,-3.827391185,0.013123834,-7.704933641
1980.1,101,0.603591598,-11.76833985,-3.83095234,0.017108545,-7.713955421
1980.2,102,0.578805351,-11.69298752,-3.843581808,-0.03803719,-7.734902997
1980.3,103,0.568602909,-11.6220387,-3.840499294,0.034324373,-7.742768006
1980.4,104,0.572118163,-11.5742469,-3.832207256,0.078408438,-7.733654777
1981.1,105,0.584244321,-11.60322759,-3.834522348,0.03786739,-7.731704139
1981.2,106,0.569449781,-11.66301101,-3.831819674,0.108460962,-7.736641197
1981.3,107,0.583607126,-11.81552045,-3.835228676,0.048823104,-7.739631952
1981.4,108,0.573660568,-11.78165262,-3.836929526,0.059194033,-7.746365348
1982.1,109,0.569183209,-11.88383686,-3.836746599,0.111407803,-7.765787115
1982.2,110,0.579432833,-11.92243833,-3.835555138,0.084126268,-7.766345979
1982.3,111,0.57805141,-11.84851144,-3.830528543,0.034227775,-7.775643727
1982.4,112,0.578593255,-11.69939628,-3.818740616,0.07722796,-7.787832239
1983.1,113,0.572858371,-11.61875273,-3.8110466,0.084977986,-7.785214411
